Sentence_ID,Words,ner_tags,Labels
0,The,0,O
0,butterfly,1,butterfly
0,is,0,O
0,fluttering,0,O
0,in,0,O
0,the,0,O
0,garden,0,O
1,I,0,O
1,see,0,O
1,a,0,O
1,butterfly,1,butterfly
1,on,0,O
1,the,0,O
1,flower,0,O
2,This,0,O
2,is,0,O
2,a,0,O
2,butterfly,1,butterfly
2,in,0,O
2,the,0,O
2,picture,0,O
3,A,0,O
3,butterfly,1,butterfly
3,sits,0,O
3,on,0,O
3,the,0,O
3,leaf,0,O
4,Look,0,O
4,at,0,O
4,the,0,O
4,beautiful,0,O
4,butterfly,1,butterfly
5,The,0,O
5,butterfly's,1,butterfly
5,wings,0,O
5,are,0,O
5,colorful,0,O
6,There,0,O
6,is,0,O
6,a,0,O
6,butterfly,1,butterfly
6,flying,0,O
7,A,0,O
7,butterfly,1,butterfly
7,rests,0,O
7,on,0,O
7,the,0,O
7,petal,0,O
8,The,0,O
8,butterfly,1,butterfly
8,flaps,0,O
8,its,0,O
8,wings,0,O
9,The,0,O
9,butterfly,1,butterfly
9,is,0,O
9,hovering,0,O
9,over,0,O
9,the,0,O
9,flowers,0,O
10,A,0,O
10,cat,2,cat
10,is,0,O
10,playing,0,O
10,with,0,O
10,a,0,O
10,ball,0,O
11,Look,0,O
11,at,0,O
11,the,0,O
11,cute,0,O
11,cat,2,cat
12,The,0,O
12,cat,2,cat
12,is,0,O
12,sleeping,0,O
12,on,0,O
12,the,0,O
12,couch,0,O
13,A,0,O
13,fluffy,0,O
13,cat,2,cat
13,is,0,O
13,sitting,0,O
13,by,0,O
13,the,0,O
13,window,0,O
14,This,0,O
14,cat,2,cat
14,is,0,O
14,chasing,0,O
14,a,0,O
14,mouse,0,O
15,A,0,O
15,black,0,O
15,cat,2,cat
15,is,0,O
15,in,0,O
15,the,0,O
15,picture,0,O
16,The,0,O
16,cat,2,cat
16,is,0,O
16,purring,0,O
16,in,0,O
16,the,0,O
16,sunlight,0,O
17,I,0,O
17,see,0,O
17,a,0,O
17,cat,2,cat
17,playing,0,O
17,in,0,O
17,the,0,O
17,garden,0,O
18,The,0,O
18,cat,2,cat
18,is,0,O
18,grooming,0,O
18,itself,0,O
19,The,0,O
19,cat,2,cat
19,jumps,0,O
19,onto,0,O
19,the,0,O
19,shelf,0,O
20,A,0,O
20,chicken,3,chicken
20,is,0,O
20,pecking,0,O
20,at,0,O
20,the,0,O
20,ground,0,O
21,The,0,O
21,chicken,3,chicken
21,is,0,O
21,walking,0,O
21,around,0,O
22,I,0,O
22,see,0,O
22,a,0,O
22,chicken,3,chicken
22,in,0,O
22,the,0,O
22,farm,0,O
23,This,0,O
23,is,0,O
23,a,0,O
23,chicken,3,chicken
23,on,0,O
23,the,0,O
23,field,0,O
24,The,0,O
24,chicken,3,chicken
24,is,0,O
24,laying,0,O
24,eggs,0,O
25,There,0,O
25,are,0,O
25,many,0,O
25,chickens,3,chicken
25,in,0,O
25,the,0,O
25,barn,0,O
26,A,0,O
26,chicken,3,chicken
26,is,0,O
26,clucking,0,O
26,loudly,0,O
27,A,0,O
27,group,0,O
27,of,0,O
27,chickens,3,chicken
27,is,0,O
27,gathered,0,O
27,together,0,O
28,A,0,O
28,chicken,3,chicken
28,walks,0,O
28,near,0,O
28,the,0,O
28,fence,0,O
29,Look,0,O
29,at,0,O
29,this,0,O
29,chicken,3,chicken
30,The,0,O
30,cow,4,cow
30,is,0,O
30,grazing,0,O
30,on,0,O
30,the,0,O
30,field,0,O
31,I,0,O
31,see,0,O
31,a,0,O
31,cow,4,cow
31,near,0,O
31,the,0,O
31,barn,0,O
32,The,0,O
